County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PopulationAttributableProportion
Nacogdoches,Poverty,% POV BLACK,16.475117915731914,0.8083660437021299,0.03654681857503371,1.0
Navarro,Poverty,% POV BLACK,8.887568896124073,0.43607632694571535,0.01604719760721247,1.0
Newton,Poverty,% POV BLACK,17.803235562790746,0.8735312955331201,0.007462698158279518,0.0
Nolan,Poverty,% POV BLACK,8.494764437209259,0.4168030332414974,0.004295584399908529,1.0
Nueces,Poverty,% POV BLACK,0.7599647294574083,0.037288332917971276,0.009209147813512895,1.0
Ochiltree,Poverty,% POV BLACK,20.38076443720926,1.0,0.007003317036972443,1.0
Oldham,Poverty,% POV BLACK,4.619235562790742,0.2266468255899853,0.00027862581057442394,0.0
Orange,Poverty,% POV BLACK,6.979514437209259,0.34245596914248844,0.020309273843373492,1.0
Palo Pinto,Poverty,% POV BLACK,11.82676443720926,0.5802905221561308,0.011528007691708076,1.0
Panola,Poverty,% POV BLACK,2.920664134219315,0.14330493555418583,0.002253838261161226,1.0
Parker,Poverty,% POV BLACK,12.459385126864431,0.6113306085868533,0.06336386258181781,1.0
Parmer,Poverty,% POV BLACK,20.38076443720926,1.0,0.006901221751161362,0.0
Pecos,Poverty,% POV BLACK,20.38076443720926,1.0,0.01062420326936818,1.0
Polk,Poverty,% POV BLACK,4.293081716636902,0.2106438023884424,0.007383097030012154,1.0
Potter,Poverty,% POV BLACK,10.557521277076454,0.5180139984249824,0.04293429079209801,1.0
Presidio,Poverty,% POV BLACK,20.38076443720926,1.0,0.004287302721285876,0.0
Rains,Poverty,% POV BLACK,19.037431103875925,0.9340881772382981,0.007945424774252906,0.0
Randall,Poverty,% POV BLACK,0.19893253248771003,0.009760798379305045,0.0009607177962934136,1.0
Reagan,Poverty,% POV BLACK,20.38076443720926,1.0,0.002367072208702119,0.0
Real,Poverty,% POV BLACK,20.38076443720926,1.0,0.0019286219059380927,0.0
Red River,Poverty,% POV BLACK,13.53123556279074,0.6639218859763032,0.005379486546209821,0.0
Reeves,Poverty,% POV BLACK,11.005764437209258,0.5400074404037555,0.005569108846589088,1.0
Refugio,Poverty,% POV BLACK,10.994235562790742,0.5394417661154316,0.0025428557777795752,0.0
Roberts,Poverty,% POV BLACK,20.38076443720926,1.0,0.0005783068586696165,0.0
Robertson,Poverty,% POV BLACK,12.724235562790739,0.6243257264462584,0.007315774902717714,0.0
Rockwall,Poverty,% POV BLACK,14.472143747554085,0.7100883674967668,0.053537801257341984,1.0
Runnels,Poverty,% POV BLACK,1.8067355627907418,0.08864905771111196,0.0006137085188397263,0.0
Rusk,Poverty,% POV BLACK,0.7499498485050253,0.03679694404081519,0.001343542938395477,1.0
Sabine,Poverty,% POV BLACK,0.7307644372092597,0.03585559508627162,0.00024807424271505106,0.0
San Augustine,Poverty,% POV BLACK,4.337431103875925,0.21281984379138677,0.0011783666725849427,0.0
San Jacinto,Poverty,% POV BLACK,2.025208881653704,0.09936864183348641,0.001904076747183238,0.0
San Patricio,Poverty,% POV BLACK,2.048889437209258,0.10053054896550352,0.00483342711383823,1.0
San Saba,Poverty,% POV BLACK,20.38076443720926,1.0,0.004006890326695167,0.0
Schleicher,Poverty,% POV BLACK,9.270764437209259,0.45487815070781057,0.0007796348095126303,0.0
Scurry,Poverty,% POV BLACK,17.829235562790743,0.8748070082317336,0.010357938948149778,1.0
Shackelford,Poverty,% POV BLACK,20.38076443720926,1.0,0.0021712730304342923,0.0
Shelby,Poverty,% POV BLACK,12.686378419933597,0.6224682326817936,0.010456327770972029,1.0
Sherman,Poverty,% POV BLACK,1.0492355627907415,0.05148165889573539,0.00010015266080100362,0.0
Smith,Poverty,% POV BLACK,2.3809430086378285,0.11682304733825045,0.01907344707793628,1.0
Somervell,Poverty,% POV BLACK,12.952568896124077,0.6355291007866471,0.004090835988615023,0.0
Starr,Poverty,% POV BLACK,14.498411496032787,0.7113772175082387,0.032792156997797285,1.0
Stephens,Poverty,% POV BLACK,3.9540977705425924,0.19401125913234035,0.001234721134899151,1.0
Sterling,Poverty,% POV BLACK,20.38076443720926,1.0,0.0009594159735123506,0.0
Stonewall,Poverty,% POV BLACK,38.709235562790745,1.8993024369644895,0.0016535461116695034,0.0
Sutton,Poverty,% POV BLACK,79.61923556279075,3.9065873023599416,0.009211660714330381,0.0
Swisher,Poverty,% POV BLACK,26.895902229457413,1.3196709236457018,0.006433000189449379,0.0
Tarrant,Poverty,% POV BLACK,3.6193805086378283,0.17758806446091435,0.26210829887663806,1.0
Taylor,Poverty,% POV BLACK,2.393381904254152,0.11743337261111479,0.011760117114987853,1.0
Terrell,Poverty,% POV BLACK,20.38076443720926,1.0,0.0005314549124412438,0.0
Terry,Poverty,% POV BLACK,6.502568896124078,0.319054219784431,0.002639604018016114,1.0
