zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
78615,STANDARD,0,Coupland,,Beyersville,TX,Travis County,America/Chicago,"512, 737",NA,US,30.46,-97.38,1750
78616,STANDARD,0,Dale,Mcmahan,"Lytton Springs, Tilmon",TX,Caldwell County,America/Chicago,"512, 737, 830",NA,US,29.93,-97.55,10530
78617,STANDARD,0,Del Valle,,"Elroy, Garfield",TX,Travis County,America/Chicago,"512, 737",NA,US,30.16,-97.6,25210
78618,STANDARD,0,Doss,,,TX,Gillespie County,America/Chicago,"325, 830",NA,US,30.47,-99.18,310
78619,STANDARD,0,Driftwood,,,TX,Hays County,America/Chicago,"512, 737",NA,US,30.11,-98.03,5870
78620,STANDARD,0,Dripping Springs,Dripping Spgs,"Henly, Mount Sharp",TX,Hays County,America/Chicago,"512, 737, 830",NA,US,30.18,-98.08,22250
78621,STANDARD,0,Elgin,Webberville,"Beaukiss, Littig, Lund, Structure, Type",TX,Bastrop County,America/Chicago,"512, 737",NA,US,30.34,-97.37,26550
78622,PO BOX,0,Fentress,,,TX,Caldwell County,America/Chicago,"512, 737, 830",NA,US,29.75,-97.78,399
78623,STANDARD,0,Fischer,,,TX,Comal County,America/Chicago,"512, 737, 830",NA,US,29.97,-98.23,1920
78624,STANDARD,0,Fredericksburg,"Fbg, Fredericksbrg","Bankersmith, Blumenthal, Cherry Spring, Fredericksbg, Gold, Luckenback, Morris Ranch, Spring Creek, Tivydale",TX,Gillespie County,America/Chicago,"325, 830",NA,US,30.27,-98.87,22120
78626,STANDARD,0,Georgetown,,Jonah,TX,Williamson County,America/Chicago,"512, 737",NA,US,30.64,-97.68,38380
78627,PO BOX,0,Georgetown,,,TX,Williamson County,America/Chicago,512,NA,US,30.64,-97.68,1911
78628,STANDARD,0,Georgetown,"Andice, Sun City",,TX,Williamson County,America/Chicago,"512, 737",NA,US,30.65,-97.75,43030
78629,STANDARD,0,Gonzales,,"Dilworth, Hamon, Maurin, Nickel, Oak Forest, Summerville",TX,Gonzales County,America/Chicago,"361, 830",NA,US,29.5,-97.44,11280
78630,PO BOX,0,Cedar Park,,,TX,Williamson County,America/Chicago,512,NA,US,30.51,-97.83,1447
78631,STANDARD,0,Harper,,"Knoxville, Noxville",TX,Gillespie County,America/Chicago,"325, 830",NA,US,30.3,-99.25,2710
78632,STANDARD,0,Harwood,,"Sandy Fork, Saturn",TX,Gonzales County,America/Chicago,830,NA,US,29.66,-97.48,840
78633,STANDARD,0,Georgetown,,,TX,Williamson County,America/Chicago,"254, 512, 737",NA,US,30.7,-97.73,28060
78634,STANDARD,0,Hutto,,Monadale,TX,Williamson County,America/Chicago,"512, 737",NA,US,30.54,-97.54,39190
78635,STANDARD,0,Hye,,,TX,Blanco County,America/Chicago,830,NA,US,30.2,-98.54,108
78636,STANDARD,0,Johnson City,,Cypress Mill,TX,Blanco County,America/Chicago,"325, 512, 737, 830",NA,US,30.27,-98.4,3800
78638,STANDARD,0,Kingsbury,,,TX,Guadalupe County,America/Chicago,"512, 737, 830",NA,US,29.65,-97.81,2080
78639,STANDARD,0,Kingsland,,"Granite Shoals Lake Shores, Lakeside Heights",TX,Llano County,America/Chicago,"325, 512, 737, 830",NA,US,30.66,-98.45,7250
78640,STANDARD,0,Kyle,"Niederwald, Uhland",,TX,Hays County,America/Chicago,"512, 737",NA,US,29.99,-97.87,63500
78641,STANDARD,0,Leander,"Cedar Park, Volente",Whitestone,TX,Williamson County,America/Chicago,"512, 737, 830",NA,US,30.56,-97.86,88850
78642,STANDARD,0,Liberty Hill,,,TX,Williamson County,America/Chicago,"512, 737",NA,US,30.66,-97.92,23930
78643,STANDARD,0,Llano,Sunrise Beach,,TX,Llano County,America/Chicago,"325, 830",NA,US,30.75,-98.67,5790
78644,STANDARD,0,Lockhart,,"Mendoza, Seawillow",TX,Caldwell County,America/Chicago,"512, 737, 830",NA,US,29.87,-97.67,18020
78645,STANDARD,0,Leander,"Jonestown, Lago Vista, Point Venture",,TX,Travis County,America/Chicago,"512, 737",NA,US,30.45,-97.97,14480
78646,PO BOX,0,Leander,,,TX,Williamson County,America/Chicago,512,NA,US,30.56,-97.86,1152
78648,STANDARD,0,Luling,,"Joliet, Stairtown",TX,Caldwell County,America/Chicago,"512, 737, 830",NA,US,29.68,-97.64,7120
78650,STANDARD,0,Mc Dade,Mcdade,,TX,Bastrop County,America/Chicago,"512, 737",NA,US,30.3,-97.22,1630
78651,PO BOX,0,Mc Neil,Mcneil,,TX,Williamson County,America/Chicago,512,NA,US,30.45,-97.71,60
78652,STANDARD,0,Manchaca,,,TX,Travis County,America/Chicago,"512, 737",NA,US,30.13,-97.89,5710
78653,STANDARD,0,Manor,Webberville,"Cele, Daffan, Gregg, Kimbro, Manda, New Sweden",TX,Travis County,America/Chicago,"512, 737",NA,US,30.34,-97.55,32100
