County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PAP_Urban,PAP_Rural
Rains,Poverty,% NONVET POV 18 64,0.9810650385683317,0.06916507932488385,0.003893115232414014,0.0,1.0
Randall,Poverty,% NONVET POV 18 64,3.7725801900834828,0.26596688073543606,0.014970556309855089,0.8301999999999999,0.16980000000000003
Reagan,Poverty,% NONVET POV 18 64,5.064398371901664,0.3570400547924469,0.02009681893611771,0.0,1.0
Real,Poverty,% NONVET POV 18 64,10.155601628098337,0.7159698537666497,0.04030000646070768,0.0,1.0
Red River,Poverty,% NONVET POV 18 64,6.007601628098337,0.42353587868760023,0.023839689000390223,0.0,1.0
Reeves,Poverty,% NONVET POV 18 64,1.1531016280983373,0.08129365785316309,0.004575800111501337,0.887,0.113
Refugio,Poverty,% NONVET POV 18 64,0.019398371901663936,0.0013675851025229807,7.697766627644418e-05,0.0,1.0
Roberts,Poverty,% NONVET POV 18 64,9.214398371901662,0.6496150298594803,0.03656507290437167,0.0,1.0
Robertson,Poverty,% NONVET POV 18 64,1.4489349614316698,0.10214990607581301,0.005749741910443133,0.0,1.0
Rockwall,Poverty,% NONVET POV 18 64,11.354398371901663,0.8004850170024808,0.04505713639643517,0.8626,0.1374
Runnels,Poverty,% NONVET POV 18 64,4.484398371901664,0.3161500582770542,0.01779523163453041,0.0,1.0
Rusk,Poverty,% NONVET POV 18 64,3.4486840861873773,0.24313220735671018,0.013685254310267366,0.3593,0.6407
Sabine,Poverty,% NONVET POV 18 64,6.405601628098337,0.45159487629643863,0.0254190540797553,0.0,1.0
San Augustine,Poverty,% NONVET POV 18 64,18.605601628098334,1.311694802999525,0.07383175249245369,0.0,1.0
San Jacinto,Poverty,% NONVET POV 18 64,0.16560162809833656,0.011674913786007464,0.0006571493178505418,0.0,1.0
San Patricio,Poverty,% NONVET POV 18 64,1.269398371901664,0.08949257759259333,0.005037295126593904,0.7217,0.2783
San Saba,Poverty,% NONVET POV 18 64,2.854398371901663,0.20123506807000244,0.011326977666276439,0.0,1.0
Schleicher,Poverty,% NONVET POV 18 64,1.4556016280983375,0.10261990603576011,0.005776196936898163,0.0,1.0
Scurry,Poverty,% NONVET POV 18 64,1.5393983719016635,0.10852757597044849,0.006108723698022473,0.6819999999999999,0.31799999999999995
Shackelford,Poverty,% NONVET POV 18 64,2.7043983719016627,0.19066006897119397,0.010731739571038342,0.0,1.0
Shelby,Poverty,% NONVET POV 18 64,6.971315913812626,0.4914777300405164,0.02766395203893899,0.2133,0.7867000000000001
Sherman,Poverty,% NONVET POV 18 64,4.674398371901663,0.3295450571355449,0.01854919988849866,0.0,1.0
Smith,Poverty,% NONVET POV 18 64,1.2295769433302333,0.08668516711755236,0.004879273584643782,0.6508,0.3492
Somervell,Poverty,% NONVET POV 18 64,2.975601628098337,0.20977989690368562,0.011807942968644193,0.0,1.0
Starr,Poverty,% NONVET POV 18 64,14.94560162809834,1.0536648249885994,0.059307942968644195,0.7140000000000001,0.28600000000000003
Stephens,Poverty,% NONVET POV 18 64,4.752268294765004,0.3350348862295723,0.018858207518908744,0.5993999999999999,0.40059999999999996
Sterling,Poverty,% NONVET POV 18 64,13.084398371901663,0.9224500066087381,0.05192221576151453,0.0,1.0
Stonewall,Poverty,% NONVET POV 18 64,6.124398371901663,0.43177004842402644,0.02430316814246691,0.0,1.0
Sutton,Poverty,% NONVET POV 18 64,3.8843983719016624,0.2738500618818204,0.015414279253578024,0.0,1.0
Swisher,Poverty,% NONVET POV 18 64,3.868934961431668,0.272759891536589,0.015352916513617728,0.0,1.0
Tarrant,Poverty,% NONVET POV 18 64,3.3431483719016626,0.2356919401336199,0.013266461793260563,0.9877,0.0123
Taylor,Poverty,% NONVET POV 18 64,1.4634065061471162,0.10317014989130775,0.0058071686751869685,0.8249,0.1751
Terrell,Poverty,% NONVET POV 18 64,11.834398371901663,0.8343250141186678,0.04696189830119707,0.0,1.0
Terry,Poverty,% NONVET POV 18 64,4.255601628098338,0.30001988921351774,0.016887308048009274,0.6985,0.30150000000000005
Throckmorton,Poverty,% NONVET POV 18 64,9.815601628098337,0.6919998558093505,0.03895080011150134,0.0,1.0
Titus,Poverty,% NONVET POV 18 64,0.5688428163461072,0.040103415134824925,0.002257312763278203,0.4935,0.5065
Tom Green,Poverty,% NONVET POV 18 64,3.3455094830127745,0.23585839845276788,0.013275831281796723,0.8332,0.16680000000000003
Travis,Poverty,% NONVET POV 18 64,2.6714328546602832,0.1883360002037317,0.010600924026429693,0.9489,0.051100000000000007
Trinity,Poverty,% NONVET POV 18 64,4.371601628098338,0.30819788851659624,0.017347625508326733,0.0,1.0
Tyler,Poverty,% NONVET POV 18 64,2.927268294765005,0.20637239719406966,0.011616144026845255,0.0,1.0
Upshur,Poverty,% NONVET POV 18 64,0.17139837190166318,0.012083584189315481,0.0006801522694510443,0.1931,0.8069
Upton,Poverty,% NONVET POV 18 64,6.269398371901663,0.4419925475528746,0.024878564967863736,0.0,1.0
Uvalde,Poverty,% NONVET POV 18 64,1.558934961431671,0.10990490541493927,0.006186249846951075,0.6483,0.3517
Val Verde,Poverty,% NONVET POV 18 64,0.6236840861873798,0.04396972432915138,0.0024749368499499195,0.8969,0.10310000000000002
Van Zandt,Poverty,% NONVET POV 18 64,1.117969800473091,0.07881686421665325,0.004436388097115439,0.0,1.0
Victoria,Poverty,% NONVET POV 18 64,1.1796016280983377,0.0831619076939526,0.00468095884166007,0.7225999999999999,0.2774
Walker,Poverty,% NONVET POV 18 64,6.602268294765002,0.46545987511487624,0.026199477360178577,0.5682999999999999,0.43170000000000003
Waller,Poverty,% NONVET POV 18 64,1.4880347355380277,0.104906439915402,0.005904899744198522,0.2264,0.7736
Ward,Poverty,% NONVET POV 18 64,1.7477317052349957,0.12321507471879345,0.006935443274742045,0.7868,0.2132
Washington,Poverty,% NONVET POV 18 64,4.697731705234997,0.3311900569953595,0.018641792481091254,0.4858,0.5142
Webb,Poverty,% NONVET POV 18 64,7.38980452664906,0.520981174731229,0.029324621137496266,0.9414,0.058600000000000006
Wharton,Poverty,% NONVET POV 18 64,0.45976829476500036,0.032413662018670485,0.0018244773601785726,0.5247,0.4753
Wheeler,Poverty,% NONVET POV 18 64,1.945601628098336,0.13716490309186757,0.007720641381342602,0.0,1.0
Wichita,Poverty,% NONVET POV 18 64,5.006965264461977,0.3529910210630038,0.01986890977961102,0.8724999999999999,0.1275
Wilbarger,Poverty,% NONVET POV 18 64,7.070601628098336,0.49847737230115596,0.028057942968644188,0.739,0.261
Willacy,Poverty,% NONVET POV 18 64,3.345601628098338,0.2358648946807465,0.013276196936898165,0.6439999999999999,0.356
Williamson,Poverty,% NONVET POV 18 64,7.7077317052349965,0.5433950389114489,0.030586236925535696,0.9085,0.0915
Wilson,Poverty,% NONVET POV 18 64,3.8010650385683302,0.2679750623824824,0.015083591422890195,0.1269,0.8731000000000001
Winkler,Poverty,% NONVET POV 18 64,5.244398371901664,0.36973005371101697,0.020811104650403426,0.8190000000000001,0.18100000000000002
Wise,Poverty,% NONVET POV 18 64,5.355023371901662,0.3775291155463881,0.021250092745641515,0.0949,0.9051
Wood,Poverty,% NONVET POV 18 64,2.316065038568329,0.16328257130427878,0.00919073428003305,0.1271,0.8729
Yoakum,Poverty,% NONVET POV 18 64,5.839398371901664,0.4116775501362905,0.023172215761514535,0.0,1.0
Young,Poverty,% NONVET POV 18 64,1.1083983719016626,0.07814207855987217,0.00439840623770501,0.4804999999999999,0.5195
Zapata,Poverty,% NONVET POV 18 64,7.14393496143167,0.5036473718605735,0.02834894825964948,0.7878000000000001,0.2122
Zavala,Poverty,% NONVET POV 18 64,14.403101628098335,1.0154185782479086,0.05715516519086641,0.6938000000000001,0.3062
Anderson,Poverty,% PERSON INC 100 124,0.8940061573987785,0.162847412735478,0.003547643481741184,0.3214,0.6786
Andrews,Poverty,% PERSON INC 100 124,0.25016050926788846,0.0455679095336406,0.0009927004336027319,0.8168,0.1832
Angelina,Poverty,% PERSON INC 100 124,1.6187319378393168,0.2948596112094065,0.006423539435870303,0.4809,0.5190999999999999
Aransas,Poverty,% PERSON INC 100 124,1.2325667634593849,0.2245178143259363,0.0048911379502356534,0.7642,0.23579999999999998
Archer,Poverty,% PERSON INC 100 124,2.853172824065445,0.5197188057833277,0.011322114381212082,0.1264,0.8735999999999999
Armstrong,Poverty,% PERSON INC 100 124,4.529839490732112,0.8251314994508196,0.017975553534651235,0.0,1.0
Atascosa,Poverty,% PERSON INC 100 124,0.2193912784986578,0.039963149900654076,0.0008706003115026102,0.2855,0.7144999999999999
Austin,Poverty,% PERSON INC 100 124,0.5401605092678876,0.09839276907453866,0.0021434940843963793,0.2117,0.7882999999999999
Bailey,Poverty,% PERSON INC 100 124,0.9948394907321116,0.1812146771160776,0.003947775756873459,0.7472,0.2528
Bandera,Poverty,% PERSON INC 100 124,0.5926966335892541,0.10796247041281229,0.0023519707682113254,0.0,1.0
Bastrop,Poverty,% PERSON INC 100 124,1.4117442526368738,0.2571558339765972,0.005602159732686006,0.28,0.7200000000000001
Baylor,Poverty,% PERSON INC 100 124,1.8898394907321117,0.34424312294057385,0.007499363058460759,0.0,1.0
Bee,Poverty,% PERSON INC 100 124,0.6920617129543336,0.1260622854498141,0.002746276638707673,0.45829999999999993,0.5417
Bell,Poverty,% PERSON INC 100 124,0.7542302767097491,0.13738658078856997,0.0029929772885307496,0.8631000000000001,0.1369
Bexar,Poverty,% PERSON INC 100 124,0.2508341143880255,0.045690609864182906,0.0009953734697937518,0.9529000000000001,0.047099999999999996
Blanco,Poverty,% PERSON INC 100 124,1.5823394907321116,0.2882305563584145,0.0062791249632226645,0.0,1.0
Borden,Poverty,% PERSON INC 100 124,3.809839490732112,0.6939801240389345,0.015118410677508378,0.0,1.0
Bosque,Poverty,% PERSON INC 100 124,1.5898394907321118,0.289596716518955,0.00630888686798457,0.0,1.0
Bowie,Poverty,% PERSON INC 100 124,0.33599333688595756,0.06120276147475312,0.0013333068924045934,0.6206,0.37939999999999996
Brazoria,Poverty,% PERSON INC 100 124,1.884326670219291,0.3432389368396637,0.007477486786584487,0.774,0.226
Brazos,Poverty,% PERSON INC 100 124,0.2542839351765567,0.04631901089382232,0.0010090632348276056,0.8815,0.11849999999999997
Brewster,Poverty,% PERSON INC 100 124,2.5134938426012203,0.45784468687007585,0.009974181915084207,0.6582,0.34180000000000005
Briscoe,Poverty,% PERSON INC 100 124,6.090160509267888,1.1093512878744873,0.0241673036082059,0.0,1.0
Brooks,Poverty,% PERSON INC 100 124,3.7548394907321114,0.683961616194971,0.014900156709254408,0.6355,0.36450000000000005
Brown,Poverty,% PERSON INC 100 124,0.8886220477294264,0.16186667191811138,0.0035262779671802634,0.566,0.434
Burleson,Poverty,% PERSON INC 100 124,2.595553776446397,0.47279228852285815,0.010299816573199986,0.0,1.0
Burnet,Poverty,% PERSON INC 100 124,2.1414938426012213,0.39008314290726864,0.008497991438893734,0.32680000000000003,0.6731999999999999
Caldwell,Poverty,% PERSON INC 100 124,1.060748581641203,0.1932203270117364,0.004209319768417472,0.45409999999999995,0.5459
Calhoun,Poverty,% PERSON INC 100 124,1.2135894907321116,0.22106101513184137,0.004815831312429014,0.5996,0.4004
Callahan,Poverty,% PERSON INC 100 124,0.5934938426012213,0.10810768577171541,0.002355134296036592,0.0,1.0
Cameron,Poverty,% PERSON INC 100 124,3.1174105092678888,0.5678509389082628,0.012370676624078923,0.8242,0.1758
Camp,Poverty,% PERSON INC 100 124,1.693172824065445,0.3084193676197348,0.006718939778037478,0.0,1.0
